from,to
5391,5664
5430,5664
5591,5664
5620,5668
5210,5672
4228,5695
12,5700
95,5700
140,5700
328,5700
1981,5700
3093,5700
3839,5700
3958,5700
3996,5700
4035,5700
4038,5700
4042,5700
4093,5700
4111,5700
4172,5700
4226,5700
4228,5700
4231,5700
4239,5700
4299,5700
4369,5700
4412,5700
4427,5700
4445,5700
4470,5700
4501,5700
4513,5700
4557,5700
4612,5700
4617,5700
4656,5700
4715,5700
4754,5700
4872,5700
4942,5700
5019,5700
5360,5700
5391,5700
5591,5700
5664,5700
5210,5710
3839,5719
4191,5719
4228,5719
4282,5719
4369,5719
4557,5719
4663,5719
4710,5719
4715,5719
4999,5719
5004,5719
5027,5719
5182,5719
5219,5719
5303,5719
5430,5719
5640,5719
556,5735
5120,5736
2972,5743
347,5744
769,5744
4038,5744
4754,5744
5591,5744
4231,5750
5019,5750
12,5762
140,5762
1981,5762
4754,5762
504,5773
3093,5780
3213,5780
3554,5780
3674,5780
3897,5780
3930,5780
3954,5780
4009,5780
4042,5780
4070,5780
4089,5780
4110,5780
4111,5780
4228,5780
4239,5780
4277,5780
4377,5780
4412,5780
4551,5780
4557,5780
4715,5780
4754,5780
4872,5780
4938,5780
4999,5780
5182,5780
95,5788
1035,5788
3676,5788
3839,5788
3897,5788
3938,5788
3954,5788
3958,5788
4191,5788
4282,5788
4299,5788
4557,5788
4715,5788
4872,5788
4934,5788
5019,5788
5430,5788
5591,5788
5664,5788
12,5790
140,5790
3093,5790
3554,5790
3674,5790
3839,5790
3895,5790
3897,5790
3954,5790
3996,5790
4038,5790
4089,5790
4093,5790
4110,5790
4111,5790
4172,5790
4191,5790
4226,5790
4228,5790
4231,5790
4239,5790
4277,5790
4412,5790
4427,5790
4445,5790
4470,5790
4499,5790
4501,5790
4513,5790
4557,5790
4612,5790
4617,5790
4622,5790
4715,5790
4754,5790
4863,5790
4872,5790
4938,5790
5019,5790
5360,5790
5430,5790
5466,5790
5644,5790
5700,5790
5780,5790
3839,5793
5360,5793
5430,5793
408,5794
3839,5794
4441,5794
4448,5794
4570,5794
5126,5794
5182,5794
5251,5794
3554,5795
5360,5795
5790,5795
1756,5796
3674,5796
5462,5796
5752,5805
95,5809
140,5809
328,5809
347,5809
723,5809
769,5809
805,5809
1035,5809
3093,5809
3554,5809
3674,5809
3676,5809
3715,5809
3722,5809
3725,5809
3897,5809
3938,5809
3954,5809
3958,5809
3996,5809
4015,5809
4038,5809
4042,5809
4070,5809
4089,5809
4111,5809
4184,5809
4191,5809
4231,5809
4239,5809
4282,5809
4299,5809
4369,5809
4412,5809
4445,5809
4470,5809
4499,5809
4501,5809
4551,5809
