song_id,artist_name,track_name,release_date,genre,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic
95,the clovers,here goes a fool,1956,pop,0.784,0.001,0.126,0.001,0.001,0.014,0.013,0.001,0.062,0.559,0.001,0.001,0.026,0.001,0.083,0.001,0.072,0.378,0.495,0.887,0,0.458,0.122,obscene
96,t. m. soundararajan,chinna kelbyaadve nanna ppuraana,1956,pop,0.286,0.002,0.002,0.002,0.002,0.002,0.002,0.424,0.112,0.002,0.17,0.002,0.272,0.002,0.002,0.002,0.002,0.442,0.617,0.976,0,0.685,0.318,romantic
99,ricky nelson,am i blue?,1957,pop,0.121,0.002,0.002,0.002,0.091,0.002,0.002,0.002,0.002,0.002,0.499,0.002,0.002,0.002,0.002,0.373,0.002,0.613,0.67,0.437,0.002,0.806,0.483,music
101,harry belafonte,angelique-o,1957,pop,0.442,0.001,0.06,0.423,0.001,0.001,0.478,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.557,0.59,0.819,0,0.919,0.377,world/life
102,ricky nelson,true love,1957,pop,0.07,0.004,0.004,0.004,0.004,0.004,0.004,0.53,0.004,0.004,0.004,0.004,0.155,0.004,0.004,0.004,0.004,0.421,0.461,0.908,0,0.142,0.04,romantic
103,johnny mathis,by myself,1957,pop,0.342,0.001,0.074,0.478,0.001,0.001,0.001,0.001,0.184,0.001,0.001,0.001,0.12,0.001,0.001,0.071,0.062,0.097,0.664,0.778,0,0.169,0.397,world/life
106,billy vaughn,miss you,1957,pop,0.221,0.002,0.002,0.002,0.002,0.002,0.002,0.051,0.15,0.002,0.002,0.002,0.002,0.002,0.264,0.461,0.044,0.26,0.503,0.938,0.517,0.276,0.237,sadness
108,johnny mathis,i'm glad there is you,1957,pop,0.206,0.001,0.001,0.001,0.001,0.03,0.001,0.058,0.088,0.001,0.001,0.001,0.001,0.159,0.001,0.614,0.001,0.227,0.591,0.896,0,0.13,0.279,sadness
110,ricky nelson,your true love,1957,pop,0.186,0.312,0.001,0.102,0.001,0.042,0.028,0.473,0.001,0.001,0.001,0.001,0.001,0.025,0.001,0.001,0.001,0.621,0.644,0.128,0.013,0.917,0.518,romantic
116,andy williams,a time for us,1957,pop,0.181,0.002,0.002,0.354,0.184,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.156,0.134,0.002,0.144,0.002,0.106,0.639,0.836,0,0.217,0.344,world/life
118,andy williams,(where do i begin) love story,1957,pop,0.281,0.001,0.001,0.355,0.085,0.001,0.001,0.037,0.1,0.001,0.04,0.001,0.154,0.059,0.001,0.159,0.001,0.284,0.636,0.633,0.001,0.29,0.453,world/life
128,johnny mathis,i've grown accustomed to her face,1957,pop,0.296,0.001,0.358,0.243,0.001,0.001,0.001,0.056,0.001,0.001,0.061,0.001,0.001,0.001,0.208,0.001,0.056,0.236,0.598,0.861,0.001,0.122,0.301,violence
132,the keynotes,tell me you love me,1957,pop,0.879,0.012,0,0.121,0.048,0.026,0.017,0,0.173,0.53,0.019,0,0,0,0.027,0,0.023,0.215,0.694,0.953,0,0.135,0.186,obscene
134,the keynotes,i don't know,1957,pop,0.96,0.001,0.243,0.388,0.001,0.001,0.001,0.001,0.001,0.025,0.023,0.041,0.128,0.001,0.077,0.001,0.052,0.464,0.736,0.844,0,0.893,0.68,world/life
136,norrie paramor,i'll see you in my dreams,1957,pop,0.271,0.001,0.001,0.144,0.001,0.001,0.035,0.067,0.001,0.001,0.178,0.001,0.181,0.001,0.001,0.376,0.001,0.071,0.462,0.976,0.709,0.068,0.146,sadness
139,the platters,you are too beautiful,1957,pop,0.136,0.002,0.002,0.002,0.002,0.002,0.002,0.215,0.002,0.002,0.002,0.002,0.002,0.002,0.364,0.386,0.002,0.277,0.622,0.744,0,0.165,0.24,sadness
140,lavern baker,that's all i need,1957,pop,0.729,0.016,0.115,0.091,0.066,0.001,0.001,0.021,0.088,0.342,0.021,0.001,0.049,0.001,0.154,0.001,0.02,0.755,0.68,0.844,0,0.965,0.274,obscene
142,the platters,don't blame me,1958,pop,0.126,0.003,0.003,0.003,0.003,0.003,0.075,0.258,0.003,0.003,0.003,0.003,0.06,0.003,0.106,0.465,0.003,0.327,0.577,0.809,0,0.317,0.329,sadness
143,perry como,between the devil and the deep blue sea,1958,pop,0.296,0.001,0.422,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.188,0.001,0.001,0.001,0.001,0.196,0.001,0.646,0.594,0.897,0,0.691,0.23,violence
144,perry como,in the garden,1958,pop,0.161,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.408,0.002,0.348,0.002,0.002,0.002,0.002,0.211,0.002,0.179,0.447,0.992,0.001,0.129,0.085,music
145,perry como,he's got the whole world in his hands,1958,pop,0.236,0.068,0.001,0.281,0.001,0.068,0.141,0.426,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.683,0.51,0.949,0,0.451,0.074,romantic
146,perry como,birth of the blues,1958,pop,0.342,0.001,0.001,0.16,0.001,0.001,0.001,0.001,0.001,0.001,0.636,0.001,0.001,0.12,0.001,0.001,0.001,0.375,0.639,0.895,0,0.39,0.287,music
150,frankie laine,mona lisa,1958,pop,0.201,0.033,0.002,0.002,0.002,0.002,0.061,0.282,0.002,0.002,0.089,0.002,0.002,0.002,0.002,0.455,0.061,0.205,0.605,0.913,0,0.157,0.27,sadness
151,a. m. rajah,inbamae pongumae,1958,pop,0.211,0.001,0.001,0.333,0.001,0.001,0.001,0.175,0.001,0.001,0.033,0.001,0.001,0.001,0.001,0.44,0.001,0.39,0.676,0.989,0.141,0.678,0.303,sadness
152,t. m. soundararajan,enna vendum,1958,pop,0.769,0.013,0,0.027,0.13,0.01,0,0.028,0.125,0.346,0.051,0,0.021,0,0.184,0.033,0.029,0.45,0.567,0.933,0.004,0.917,0.399,obscene
